epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,479.284,1.39443,1.29653,1.14177,0.66252,0.54628,0.59377,0.38057,1.27448,1.20029,1.10402,0.0011684,0.0011684,0.0011684
44,490.158,1.40062,1.30311,1.15072,0.68753,0.53421,0.58998,0.37576,1.29555,1.1744,1.11376,0.0011486,0.0011486,0.0011486
45,501.139,1.35127,1.24329,1.12588,0.70976,0.5357,0.60193,0.38614,1.26571,1.15092,1.10353,0.0011288,0.0011288,0.0011288
46,512.074,1.38114,1.28217,1.14068,0.66332,0.5405,0.5975,0.38399,1.27294,1.14253,1.09304,0.001109,0.001109,0.001109
47,523.09,1.3863,1.29331,1.14026,0.68471,0.524,0.58825,0.3802,1.28374,1.15286,1.10097,0.0010892,0.0010892,0.0010892
48,534.184,1.37379,1.27787,1.1389,0.70308,0.51823,0.5952,0.37944,1.27824,1.16625,1.10289,0.0010694,0.0010694,0.0010694
49,545.106,1.37011,1.25997,1.13698,0.67739,0.54119,0.59846,0.3929,1.2534,1.14223,1.09375,0.0010496,0.0010496,0.0010496
50,555.993,1.37247,1.24281,1.12405,0.68935,0.5529,0.6093,0.39154,1.26307,1.1161,1.08678,0.0010298,0.0010298,0.0010298
51,567.022,1.36421,1.2551,1.14241,0.70353,0.54071,0.60901,0.39687,1.2609,1.1142,1.09299,0.00101,0.00101,0.00101
52,578.11,1.37096,1.23865,1.12869,0.71913,0.5452,0.61853,0.40073,1.25909,1.10695,1.09004,0.0009902,0.0009902,0.0009902
53,589.081,1.34421,1.21189,1.11864,0.69381,0.54675,0.61163,0.39794,1.24547,1.10686,1.08072,0.0009704,0.0009704,0.0009704
54,599.988,1.36219,1.23912,1.12312,0.70956,0.54719,0.61278,0.39925,1.25395,1.10012,1.09751,0.0009506,0.0009506,0.0009506
55,610.936,1.34235,1.23274,1.10568,0.70468,0.5561,0.62617,0.40801,1.2394,1.07511,1.08091,0.0009308,0.0009308,0.0009308
56,621.945,1.34273,1.19737,1.10925,0.70263,0.54306,0.61306,0.39861,1.24314,1.09651,1.08739,0.000911,0.000911,0.000911
57,632.92,1.34062,1.2091,1.11441,0.7216,0.54713,0.62218,0.40834,1.23179,1.08697,1.08112,0.0008912,0.0008912,0.0008912
58,643.86,1.33,1.19122,1.11057,0.70738,0.56209,0.62689,0.40945,1.23686,1.07456,1.07994,0.0008714,0.0008714,0.0008714
59,654.805,1.34055,1.20779,1.11798,0.689,0.57192,0.63002,0.41101,1.2282,1.08045,1.0796,0.0008516,0.0008516,0.0008516
60,665.724,1.32831,1.18922,1.11396,0.72164,0.55845,0.6299,0.41351,1.21521,1.07037,1.07353,0.0008318,0.0008318,0.0008318
61,676.661,1.33267,1.18106,1.10817,0.71684,0.56038,0.63255,0.41517,1.22065,1.06311,1.07434,0.000812,0.000812,0.000812
62,687.645,1.32626,1.17952,1.10082,0.72502,0.56102,0.63335,0.41709,1.2081,1.05816,1.06612,0.0007922,0.0007922,0.0007922
63,698.516,1.32709,1.18839,1.10843,0.69998,0.57292,0.6339,0.41672,1.21396,1.05097,1.07004,0.0007724,0.0007724,0.0007724
64,709.413,1.33433,1.18723,1.10972,0.71832,0.57117,0.6407,0.42165,1.20546,1.04737,1.06613,0.0007526,0.0007526,0.0007526
65,720.431,1.32472,1.1847,1.10343,0.7155,0.57941,0.64172,0.42214,1.21218,1.03975,1.07013,0.0007328,0.0007328,0.0007328
66,731.423,1.31869,1.1674,1.10579,0.7328,0.55952,0.63897,0.41975,1.20789,1.04759,1.06369,0.000713,0.000713,0.000713
67,742.297,1.31754,1.15816,1.10083,0.7242,0.5779,0.65051,0.42832,1.20312,1.02234,1.06381,0.0006932,0.0006932,0.0006932
68,753.275,1.30865,1.15312,1.09327,0.72792,0.57427,0.64758,0.42804,1.19665,1.01823,1.06343,0.0006734,0.0006734,0.0006734
69,764.23,1.31988,1.14768,1.10091,0.70701,0.58637,0.64844,0.42712,1.20288,1.01574,1.06511,0.0006536,0.0006536,0.0006536
70,775.124,1.31152,1.14089,1.09712,0.74616,0.5638,0.65155,0.42916,1.20461,1.02477,1.06307,0.0006338,0.0006338,0.0006338
71,786.063,1.31061,1.1598,1.0946,0.69304,0.59115,0.6475,0.42803,1.1992,1.02497,1.05907,0.000614,0.000614,0.000614
72,797.117,1.28076,1.11907,1.08194,0.70874,0.58663,0.64907,0.42942,1.19331,1.01965,1.05844,0.0005942,0.0005942,0.0005942
73,808.144,1.29963,1.11702,1.0932,0.71828,0.59233,0.65455,0.4385,1.1802,0.99659,1.05039,0.0005744,0.0005744,0.0005744
74,819.154,1.29003,1.12718,1.08755,0.73731,0.58324,0.65641,0.43787,1.17877,1.00036,1.05314,0.0005546,0.0005546,0.0005546
75,830.069,1.2703,1.09971,1.07441,0.72359,0.59436,0.65725,0.43672,1.18171,0.99846,1.05463,0.0005348,0.0005348,0.0005348
76,840.997,1.28187,1.11504,1.08344,0.70549,0.60361,0.65986,0.43933,1.18434,0.99699,1.05286,0.000515,0.000515,0.000515
77,852.153,1.28333,1.09711,1.07562,0.73259,0.58175,0.65599,0.43604,1.18678,1.00959,1.05889,0.0004952,0.0004952,0.0004952
78,863.085,1.26978,1.07434,1.07772,0.72287,0.59585,0.65771,0.43872,1.17519,0.9966,1.05245,0.0004754,0.0004754,0.0004754
79,874.009,1.27546,1.08704,1.0792,0.74081,0.59742,0.6658,0.44544,1.17188,0.98382,1.04893,0.0004556,0.0004556,0.0004556
80,885.014,1.26735,1.07077,1.0815,0.72233,0.59712,0.66184,0.44254,1.17494,0.9922,1.04995,0.0004358,0.0004358,0.0004358
81,895.925,1.25646,1.06646,1.07391,0.73704,0.59778,0.66505,0.4424,1.17344,0.98546,1.05058,0.000416,0.000416,0.000416
82,906.975,1.24344,1.05405,1.0676,0.73832,0.60932,0.6721,0.44689,1.16697,0.9726,1.04881,0.0003962,0.0003962,0.0003962
83,917.899,1.25831,1.07504,1.07172,0.73058,0.60483,0.67045,0.44804,1.17008,0.97589,1.04892,0.0003764,0.0003764,0.0003764
84,928.966,1.25521,1.07658,1.07304,0.72543,0.60547,0.67007,0.44968,1.15904,0.97064,1.04359,0.0003566,0.0003566,0.0003566
85,939.889,1.25144,1.0555,1.07257,0.72098,0.60196,0.66706,0.4465,1.163,0.97943,1.04595,0.0003368,0.0003368,0.0003368
86,950.806,1.25608,1.06721,1.07104,0.73018,0.61039,0.67356,0.45455,1.157,0.96424,1.04175,0.000317,0.000317,0.000317
87,961.853,1.24251,1.055,1.06768,0.74019,0.60526,0.67302,0.45259,1.15751,0.97247,1.03973,0.0002972,0.0002972,0.0002972
88,972.729,1.24849,1.04209,1.06526,0.74968,0.59949,0.67582,0.45258,1.15701,0.96462,1.04247,0.0002774,0.0002774,0.0002774
89,983.693,1.24636,1.03501,1.06967,0.73146,0.61103,0.67667,0.45527,1.15026,0.95843,1.0373,0.0002576,0.0002576,0.0002576
90,994.689,1.24633,1.03413,1.06545,0.76554,0.59453,0.67658,0.45469,1.15257,0.96182,1.03857,0.0002378,0.0002378,0.0002378
91,1006.76,1.12856,0.89027,1.01997,0.74579,0.59315,0.66912,0.4487,1.16706,0.97772,1.04723,0.000218,0.000218,0.000218
92,1017.64,1.1198,0.86597,1.01616,0.75532,0.58923,0.67204,0.45092,1.16421,0.96729,1.0444,0.0001982,0.0001982,0.0001982
93,1028.39,1.13282,0.85931,1.01771,0.75837,0.59628,0.6758,0.45308,1.15455,0.96029,1.04018,0.0001784,0.0001784,0.0001784
94,1039.29,1.11097,0.84561,1.01068,0.74908,0.60485,0.67505,0.45438,1.14952,0.95616,1.03798,0.0001586,0.0001586,0.0001586
95,1050,1.10905,0.82585,1.01403,0.74904,0.60344,0.67636,0.45455,1.15235,0.95789,1.03993,0.0001388,0.0001388,0.0001388
96,1060.78,1.10158,0.82755,1.01087,0.77643,0.58837,0.68011,0.45671,1.15082,0.95077,1.04024,0.000119,0.000119,0.000119
97,1071.54,1.11689,0.82973,1.00688,0.7684,0.59846,0.68044,0.45745,1.15074,0.95349,1.04024,9.92e-05,9.92e-05,9.92e-05
98,1082.34,1.09452,0.82479,1.01149,0.75745,0.60825,0.68191,0.45812,1.15308,0.95183,1.04078,7.94e-05,7.94e-05,7.94e-05
99,1093,1.08909,0.81415,0.99679,0.77019,0.60034,0.68169,0.4588,1.15121,0.95125,1.03981,5.96e-05,5.96e-05,5.96e-05
100,1103.7,1.09553,0.81245,1.00089,0.76214,0.60331,0.6817,0.46062,1.15004,0.94739,1.03842,3.98e-05,3.98e-05,3.98e-05
